s,"tamp,datetime,","humidity,t",emperature
"""","1497825202"",""",18/06/2017,"22:33:22"",""61.5"",""19.0"""
"""","1497825203"",""",18/06/2017,"22:33:23"",""61.5"",""19.0"""
"""","1497825204"",""",18/06/2017,"22:33:24"",""61.5"",""19.0"""
"""","1497825205"",""",18/06/2017,"22:33:25"",""61.5"",""19.0"""
"""","1497825206"",""",18/06/2017,"22:33:26"",""61.4"",""19.0"""
"""","1497825207"",""",18/06/2017,"22:33:27"",""61.4"",""19.0"""
"""","1497825208"",""",18/06/2017,"22:33:28"",""61.4"",""19.0"""
"""","1497825209"",""",18/06/2017,"22:33:29"",""61.4"",""19.0"""
"""","1497825210"",""",18/06/2017,"22:33:30"",""61.4"",""19.0"""
"""","1497825211"",""",18/06/2017,"22:33:31"",""61.4"",""19.0"""
"""","1497825212"",""",18/06/2017,"22:33:32"",""61.4"",""19.0"""
"""","1497825213"",""",18/06/2017,"22:33:33"",""61.4"",""19.0"""
"""","1497825214"",""",18/06/2017,"22:33:34"",""61.4"",""19.0"""
"""","1497825215"",""",18/06/2017,"22:33:35"",""61.4"",""19.0"""
"""","1497825216"",""",18/06/2017,"22:33:36"",""61.4"",""19.0"""
"""","1497825217"",""",18/06/2017,"22:33:37"",""61.4"",""19.0"""
"""","1497825218"",""",18/06/2017,"22:33:38"",""61.5"",""19.0"""
"""","1497825219"",""",18/06/2017,"22:33:39"",""61.5"",""19.0"""
"""","1497825220"",""",18/06/2017,"22:33:40"",""61.5"",""19.0"""
"""","1497825221"",""",18/06/2017,"22:33:41"",""61.5"",""19.0"""
"""","1497825222"",""",18/06/2017,"22:33:42"",""61.6"",""19.0"""
"""","1497825223"",""",18/06/2017,"22:33:43"",""61.6"",""19.0"""
"""","1497825224"",""",18/06/2017,"22:33:44"",""61.6"",""19.0"""
"""","1497825225"",""",18/06/2017,"22:33:45"",""61.6"",""19.0"""
"""","1497825226"",""",18/06/2017,"22:33:46"",""61.6"",""19.0"""
"""","1497825227"",""",18/06/2017,"22:33:47"",""61.6"",""19.0"""
"""","1497825228"",""",18/06/2017,"22:33:48"",""61.8"",""19.0"""
"""","1497825229"",""",18/06/2017,"22:33:49"",""61.8"",""19.0"""
"""","1497825230"",""",18/06/2017,"22:33:50"",""61.7"",""19.0"""
"""","1497825231"",""",18/06/2017,"22:33:51"",""61.7"",""19.0"""
"""","1497825232"",""",18/06/2017,"22:33:52"",""62.6"",""19.0"""
"""","1497825233"",""",18/06/2017,"22:33:53"",""62.6"",""19.0"""
"""","1497825234"",""",18/06/2017,"22:33:54"",""63.5"",""19.0"""
"""","1497825235"",""",18/06/2017,"22:33:55"",""63.5"",""19.0"""
"""","1497825236"",""",18/06/2017,"22:33:56"",""63.5"",""19.0"""
"""","1497825237"",""",18/06/2017,"22:33:57"",""62.9"",""19.0"""
"""","1497825238"",""",18/06/2017,"22:33:58"",""62.9"",""19.0"""
"""","1497825239"",""",18/06/2017,"22:33:59"",""62.4"",""19.0"""
"""","1497825240"",""",18/06/2017,"22:34:0"",""62.4"",""19.0"""
"""","1497825241"",""",18/06/2017,"22:34:1"",""62.3"",""19.0"""
"""","1497825242"",""",18/06/2017,"22:34:2"",""62.3"",""19.0"""
"""","1497825243"",""",18/06/2017,"22:34:3"",""62.3"",""19.0"""
"""","1497825244"",""",18/06/2017,"22:34:4"",""62.1"",""19.0"""
"""","1497825245"",""",18/06/2017,"22:34:5"",""62.1"",""19.0"""
"""","1497825246"",""",18/06/2017,"22:34:6"",""62.0"",""19.0"""
"""","1497825247"",""",18/06/2017,"22:34:7"",""62.0"",""19.0"""
"""","1497825248"",""",18/06/2017,"22:34:8"",""62.0"",""19.0"""
"""","1497825249"",""",18/06/2017,"22:34:9"",""61.9"",""18.9"""
"""","1497825250"",""",18/06/2017,"22:34:10"",""61.9"",""18.9"""
"""","1497825251"",""",18/06/2017,"22:34:11"",""61.9"",""19.0"""
"""","1497825252"",""",18/06/2017,"22:34:12"",""61.9"",""19.0"""
"""","1497825253"",""",18/06/2017,"22:34:13"",""61.9"",""19.0"""
"""","1497825254"",""",18/06/2017,"22:34:14"",""61.9"",""19.0"""
"""","1497825255"",""",18/06/2017,"22:34:15"",""61.9"",""18.9"""
"""","1497825256"",""",18/06/2017,"22:34:16"",""61.9"",""18.9"""
"""","1497825257"",""",18/06/2017,"22:34:17"",""62.0"",""19.0"""
"""","1497825258"",""",18/06/2017,"22:34:18"",""62.0"",""19.0"""
